sentences,value
chinese pasrah becek suka teriak doyan ngewe jg dpt squirt,1
celeng kgn,1
dapet om suka eksperimen memek ku tuang madu yoghurt fruit tea biar gitu pas jilmek trus om sedot kuat kyk om,1
maju anjing,1
ungkap anggota komisi iii dprd kota cirebon jafarudin temu gedung dprd ja far selamat benda cagar budaya identitas kota sejarah cirebon,0
wwkkw tae krn pake alesan mens mens mulu,1
babak kuasa usaha tambang freeport indonesia moga gambar tabel rezim kontrak milik saham pt freeport indonesia indonesia nawacita sinergibumn inalum fcx,0
cowonya gentle banget banci gitu ngomongin belakang emang bener dikatain temen,1
nurul arifin tekad kota bandung jakarta bandunggeulis bandungharmonis calonwalikotabandung calonwalikotabandung,0
taun ni hasil panen serah pjs bupati lebak ino s rawita gubernur banten wahidin halim sebabaduy,0
alat transportasi cepat cepat ekonomi cepat jg krn zaman skrg butuh cepat teliti hayukakertajati,0
kaya palestina om bill dunia sebenernya dunia muslim kristen yahudi biar sana wilayah atap yakin beda rukun rampas terusi,0
suka dunia matahari matahari siang malam hati,0
sayang nama jg negara kembang semangat sayangky,0
inget kucing hewan sayang rasul jijik ganggu yaudah gausah pakai keras binatang manusia strata pintar bawah banget waras nger,0
waketum cuci congor congor repot cuci tangan ketua lempar batu sembunyi tangan,1
edan markli ku senyum ngeliatin hp,1
gubernur uing yeeeuh,0
spt ahok nasdem susul dg cs dukung paslon agama tukang caci maki tai tai,1
dah mas gitutu dongo mah ngomongin finansial tandang markas ribut nyari stadion kosong nggak stadion paham persija,1
ummar bin khatab ahh jablay poligami,1
dengar anak bas bicara tuhan tuhan islam tuhan kristen tuhan budha tuhan hindu tuhan kejawen tuhan nit sensor yng suka hukum beda cerdas anak pikir,0
binaraga ambon ngocok kontol sampe nyemburin pejuh,1
jujur cerdas pintar pilih imam pimpin sholat ngaji santun sopan babi kafir ahok,1
aduh kayak encok igoy tua bangka era,1
mukidinya kafir,1
